,Total Population,% age 21+,% age 65+,% Race - White,% Race - Black,% Race - American Native,% Race  - Asian,% Race - Pacific Islander,% Race - Other,% Race - Hispanic/Latino,% Male,2021 Median Income,City,State,Region
31119,466,62.0,13.9,4.7,0.6,96.1,0.0,0.0,0.0,6.0,0.48283261802575106,,new odanah,wisconsin,midwest
31120,302,79.8,31.8,41.4,1.3,62.6,1.0,0.3,1.0,0.7,0.4966887417218543,,new post,wisconsin,midwest
31121,10079,72.4,16.8,95.5,2.7,2.2,1.8,0.2,2.9,3.1,0.49379898799484073,,new richmond,wisconsin,midwest
31122,1602,76.3,22.3,98.4,0.9,2.4,1.1,0.1,2.7,2.6,0.4787765293383271,,niagara,wisconsin,midwest
31123,290,71.4,13.8,90.7,2.8,4.8,0.0,0.3,10.7,14.1,0.5551724137931034,,nichols village,wisconsin,midwest
31124,209,83.3,31.1,94.7,5.7,4.3,1.9,0.5,7.2,8.6,0.507177033492823,,north bay village,wisconsin,midwest
31125,5378,72.8,17.3,89.2,2.8,2.2,2.1,0.1,12.0,13.5,0.49572331721829677,,north fond du lac village,wisconsin,midwest
31126,603,75.5,14.9,98.5,0.7,3.2,0.0,0.0,2.2,2.5,0.5091210613598673,,north freedom village,wisconsin,midwest
31127,3803,76.1,17.6,96.9,1.4,2.1,1.2,0.1,3.1,2.9,0.4948724691033395,,north hudson village,wisconsin,midwest
31128,247,74.9,19.4,96.8,1.2,2.0,1.6,0.0,2.0,1.6,0.4777327935222672,,north lake,wisconsin,midwest
31129,459,77.3,23.5,97.6,0.4,2.2,0.4,0.0,4.4,4.1,0.46405228758169936,,northport,wisconsin,midwest
31130,2202,73.8,17.3,97.7,0.6,1.9,1.1,0.0,2.6,2.6,0.49227974568574023,,north prairie village,wisconsin,midwest
31131,611,65.8,13.1,80.7,0.7,2.5,0.7,0.0,25.7,28.3,0.5122749590834698,,norwalk village,wisconsin,midwest
